  1.000000000000000E-01   1.499373371077113E+02   1.499421672787783E+02   1.499611848536625E+02   1.499540858218920E+02   1.499777943471307E+02
  2.000000000000000E-01   1.498862693936180E+02   1.498967444396874E+02   1.499195416768217E+02   1.499169676558022E+02   1.499504961265162E+02
  3.000000000000000E-01   1.498448153525439E+02   1.498577479264975E+02   1.498812667653249E+02   1.498831320631558E+02   1.499220156405999E+02
  4.000000000000000E-01   1.498089113177701E+02   1.498229173487288E+02   1.498465213402806E+02   1.498514701377730E+02   1.498934449112684E+02
  5.000000000000000E-01   1.497763081175050E+02   1.497908830273850E+02   1.498146121585207E+02   1.498213181998884E+02   1.498651041538800E+02
  6.000000000000000E-01   1.497458110667204E+02   1.497607870390327E+02   1.497848746014390E+02   1.497922405314754E+02   1.498370724635019E+02
  7.000000000000000E-01   1.497167501053338E+02   1.497320855763879E+02   1.497567931020322E+02   1.497639565718032E+02   1.498093501168055E+02
  7.999999999999999E-01   1.496887234303992E+02   1.497044228128390E+02   1.497299856413063E+02   1.497362815364227E+02   1.497819128671772E+02
  8.999999999999999E-01   1.496614745101890E+02   1.496775570164016E+02   1.497041709535256E+02   1.497090888768553E+02   1.497547313470490E+02
  9.999999999999999E-01   1.496348308297876E+02   1.496513184354648E+02   1.496791408856888E+02   1.496822889414205E+02   1.497277783016751E+02
  1.100000000000000E+00   1.496086719231571E+02   1.496255849743018E+02   1.496547402937078E+02   1.496558170044786E+02   1.497010312828765E+02
  1.200000000000000E+00   1.495829118249462E+02   1.496002676893601E+02   1.496308529858954E+02   1.496296263593996E+02   1.496744735771836E+02
  1.300000000000000E+00   1.495574889269702E+02   1.495753018075627E+02   1.496073919571234E+02   1.496036841603950E+02   1.496480944532522E+02
  1.400000000000000E+00   1.495323598192466E+02   1.495506409562386E+02   1.495842925657342E+02   1.495779688134909E+02   1.496218891719190E+02
  1.500000000000000E+00   1.495074953858156E+02   1.495262533363913E+02   1.495615077202022E+02   1.495524682850829E+02   1.495958589392749E+02
  1.600000000000000E+00   1.494828782349027E+02   1.495021191192658E+02   1.495390044479228E+02   1.495271789798989E+02   1.495700108694273E+02
  1.700000000000000E+00   1.494585009603642E+02   1.494782286394963E+02   1.495167614252568E+02   1.495021049873581E+02   1.495443579746792E+02
  1.800000000000000E+00   1.494343649438075E+02   1.494545811187679E+02   1.494947671825028E+02   1.494772575690167E+02   1.495189191800497E+02
  1.900000000000001E+00   1.494104795110290E+02   1.494311837504723E+02   1.494730187864300E+02   1.494526548042826E+02   1.494937193516108E+02
  2.000000000000000E+00   1.493868613239972E+02   1.494080510325171E+02   1.494515208633951E+02   1.494283213392693E+02   1.494687893271150E+02
  2.100000000000001E+00   1.493635339314998E+02   1.493852042709304E+02   1.494302848662548E+02   1.494042882005352E+02   1.494441659387895E+02
  2.200000000000001E+00   1.493405274258254E+02   1.493626712001063E+02   1.494093285157226E+02   1.493805926466378E+02   1.494198920206050E+02
  2.300000000000001E+00   1.493178781697119E+02   1.493404856816280E+02   1.493886753660852E+02   1.493572780386065E+02   1.493960163945887E+02
  2.400000000000001E+00   1.492956285676934E+02   1.493186874546816E+02   1.493683544591062E+02   1.493343937163610E+02   1.493725938328255E+02
  2.500000000000001E+00   1.492738268638176E+02   1.492973219190457E+02   1.493484000397499E+02   1.493119948722218E+02   1.493496849933766E+02
  2.600000000000001E+00   1.492525269525418E+02   1.492764399371515E+02   1.493288513143748E+02   1.492901424158491E+02   1.493273563296360E+02
  2.700000000000001E+00   1.492317881951190E+02   1.492560976459022E+02   1.493097522375372E+02   1.492689028270877E+02   1.493056799735414E+02
  2.800000000000001E+00   1.492116752224256E+02   1.492363562732650E+02   1.492911513175428E+02   1.492483479946898E+02   1.492847335933629E+02
  2.900000000000001E+00   1.491922577584677E+02   1.492172819518934E+02   1.492731014341156E+02   1.492285550432818E+02   1.492646002295353E+02
  3.000000000000001E+00   1.491736104434630E+02   1.491989455257971E+02   1.492556596605084E+02   1.492096061422785E+02   1.492453681103609E+02
  3.100000000000001E+00   1.491558126302801E+02   1.491814223584936E+02   1.492388870894958E+02   1.491915883036883E+02   1.492271304511053E+02
  3.200000000000002E+00   1.491389481719837E+02   1.491647921418484E+02   1.492228486649998E+02   1.491745931757778E+02   1.492099852420395E+02
  3.300000000000002E+00   1.491231052150990E+02   1.491491387040079E+02   1.492076130183606E+02   1.491587168339383E+02   1.491940350308096E+02
  3.400000000000002E+00   1.491083759992337E+02   1.491345498188432E+02   1.491932523091068E+02   1.491440595711952E+02   1.491793867039813E+02
  3.500000000000002E+00   1.490948566631977E+02   1.491211170201527E+02   1.491798420716261E+02   1.491307256919570E+02   1.491661512717757E+02
  3.600000000000002E+00   1.490826470546175E+02   1.491089354230636E+02   1.491674610685444E+02   1.491188233120918E+02   1.491544436587609E+02
  3.700000000000002E+00   1.490718505511167E+02   1.490981035536941E+02   1.491561911518775E+02   1.491084641668316E+02   1.491443825020037E+02
  3.800000000000002E+00   1.490625738870792E+02   1.490887231868477E+02   1.491461171314867E+02   1.490997634264590E+02   1.491360899571125E+02
  3.900000000000002E+00   1.490549269870607E+02   1.490808991904572E+02   1.491373266496969E+02   1.490928395195625E+02   1.491296915111204E+02
  4.000000000000002E+00   1.490490228060138E+02   1.490747393748809E+02   1.491299100613424E+02   1.490878139617885E+02   1.491253158002946E+02
  4.100000000000001E+00   1.490449772113695E+02   1.490703543419156E+02   1.491239603159642E+02   1.490848111871788E+02   1.491230944325850E+02
  4.200000000000001E+00   1.490429088195480E+02   1.490678573424227E+02   1.491195728417430E+02   1.490839583774160E+02   1.491231618111829E+02
  4.300000000000001E+00   1.490429387705886E+02   1.490673641518249E+02   1.491168454382544E+02   1.490853853060472E+02   1.491256549616843E+02
  4.400000000000000E+00   1.490451905863470E+02   1.490689929437614E+02   1.491158781804903E+02   1.490892241987015E+02   1.491307133714758E+02
  4.500000000000000E+00   1.490497900873806E+02   1.490728641609481E+02   1.491167733261112E+02   1.490956095933374E+02   1.491384788443637E+02
